肯德基	4008823823
麦当劳	400-851-7517
必胜客	4008123123
火车票订票	010-95105105
火车票客服	010-12306
携程	1010-6666
去哪儿	010-57603866
艺龙旅游网	4006-161616
同程	4007-777777
移动充值	13800138000
联通充值	10011
电信客服	10000
如家酒店	4008203333
汉庭酒店	4008121121
锦江之星	4008209999
7天酒店	4008740087
中国银行	95566
中国工商银行	95588
招商银行	95555
中国建设银行	95533
出租车投诉(北京)	68351570
消费者申诉举报	12315
价格监督举报	12358
质量监督电话	12365
申通快递	0571-82122222
顺丰速递	4008-111111
EMS	11185
圆通快递	021-69777888
太平洋保险	95500
平安财产保险	95512
医疗保险查询	96102
神州租车	4006166666
一嗨租车	4008886608
易到租车	4001111777
